D-U-CONFLICTS - essentialCPs / conflictAtoms / Candidates / Minimal Reasons;[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0]addToGroup_features_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createConcreteFeature_IN_Feature;[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]createGroup_IN_FeatureModel;[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1]deleteConcreteFeature_IN_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]FloatTest;[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1]moveFeature_FROM_Feature_children_TO_Feature_Feature;[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2]removeFromGroup_features_Feature;[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0]addToGroup_features_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]changeGroupFromALTtoOR;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createConcreteFeature_IN_Feature;[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]createGroup_IN_FeatureModel;[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5]deleteExcludeConstraint_IN_FeatureModel;[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5]deleteRequireConstraint_IN_FeatureModel;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]setFeatureConcrete;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]setFeatureOptional;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createAbstractFeature_IN_Feature;[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1]deleteAbstractFeature_IN_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]changeGroupFromORtoALT;[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createExcludeConstraint_IN_FeatureModel;[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]createGroup_IN_FeatureModel;[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createRequireConstraint_IN_FeatureModel;[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1]deleteConcreteFeature_IN_Feature;[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2]removeFromGroup_features_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]setFeatureAbstract;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]setFeatureMandatory;[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]mutuallyExchangeMandatoryAndOptional;[#LhsNode:2 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]CreateChildrenFeaturesWithGroup;[#LhsNode:2 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]CreateFeatureWithSubFeatures;[#LhsNode:3 ,#LhsEdges:3 ,#deleteNodes:1 ,#deleteEdges:3]ReplaceFeature;[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:0]AddSiblingFeaturesWithGroup;[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]Generalization_2-4;[#LhsNode:8 ,#LhsEdges:15 ,#deleteNodes:2 ,#deleteEdges:10]Generalization_2-5;[#LhsNode:5 ,#LhsEdges:5 ,#deleteNodes:0 ,#deleteEdges:0]Generalization_2-6;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]Generalization_2-7;[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:5]ExtractALTGroup;[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1]FlattenFeatureHierarchy;[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:6]Refactoring_1-1;[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1]Refactoring_1-2;[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1]Refactoring_1-3;[#LhsNode:5 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:1]Refactoring_1-4;[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1]Refactoring_1-5;[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:4]Refactoring_1-6;[#LhsNode:6 ,#LhsEdges:6 ,#deleteNodes:0 ,#deleteEdges:2]Refactoring_1-7;[#LhsNode:4 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1]Refactoring_1-8;[#LhsNode:5 ,#LhsEdges:3 ,#deleteNodes:0 ,#deleteEdges:0]Specialization_3-2;[#LhsNode:5 ,#LhsEdges:3 ,#deleteNodes:0 ,#deleteEdges:0]Specialization_3-3;[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]Specialization_3-4;[#LhsNode:6 ,#LhsEdges:7 ,#deleteNodes:0 ,#deleteEdges:2]Specialization_3-5;[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:0 ,#deleteEdges:2]Specialization_3-6;[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1]Specialization_3-7;
Generalization_2-4;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
Generalization_2-5;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;2/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/4/4/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;4/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;12/4/4/4;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
Generalization_2-6;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
Generalization_2-7;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
ExtractALTGroup;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
FlattenFeatureHierarchy;2/2/2/1;0/0/0/0;2/2/2/1;1/1/1/1;0/0/0/0;1/1/1/1;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;1/1/1/1;1/1/1/1;2/2/2/1;3/3/3/1;3/3/3/1;0/0/0/0;0/0/0/0;2/2/2/2;2/2/2/1;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;1/1/1/1;3/3/3/1;3/3/3/1;2/2/2/1;3/3/3/1;3/3/3/1;1/1/1/1;
Refactoring_1-1;2/2/2/1;0/0/0/0;2/2/2/1;1/1/1/1;0/0/0/0;1/1/1/1;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;1/1/1/1;1/1/1/1;2/2/2/1;26/5/5/2;3/3/3/1;0/0/0/0;0/0/0/0;2/2/2/2;11/3/3/2;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;12/4/4/4;1/1/1/1;3/3/3/1;3/3/3/1;2/2/2/1;3/3/3/1;3/3/3/1;1/1/1/1;
Refactoring_1-2;2/2/2/1;0/0/0/0;2/2/2/1;1/1/1/1;0/0/0/0;1/1/1/1;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;1/1/1/1;1/1/1/1;2/2/2/1;3/3/3/1;3/3/3/1;0/0/0/0;0/0/0/0;2/2/2/2;2/2/2/1;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;1/1/1/1;3/3/3/1;3/3/3/1;2/2/2/1;3/3/3/1;3/3/3/1;1/1/1/1;
Refactoring_1-3;2/2/2/1;0/0/0/0;2/2/2/1;1/1/1/1;0/0/0/0;1/1/1/1;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;1/1/1/1;1/1/1/1;2/2/2/1;3/3/3/1;3/3/3/1;0/0/0/0;0/0/0/0;2/2/2/2;2/2/2/1;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;1/1/1/1;3/3/3/1;3/3/3/1;2/2/2/1;3/3/3/1;3/3/3/1;1/1/1/1;
Refactoring_1-4;2/2/2/1;0/0/0/0;2/2/2/1;1/1/1/1;0/0/0/0;1/1/1/1;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;1/1/1/1;1/1/1/1;2/2/2/1;3/3/3/1;3/3/3/1;0/0/0/0;0/0/0/0;2/2/2/2;2/2/2/1;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;1/1/1/1;3/3/3/1;3/3/3/1;2/2/2/1;3/3/3/1;3/3/3/1;1/1/1/1;
Refactoring_1-5;2/2/2/1;0/0/0/0;2/2/2/1;1/1/1/1;0/0/0/0;1/1/1/1;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;1/1/1/1;1/1/1/1;2/2/2/1;3/3/3/1;3/3/3/1;0/0/0/0;0/0/0/0;2/2/2/2;2/2/2/1;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;1/1/1/1;3/3/3/1;3/3/3/1;2/2/2/1;3/3/3/1;3/3/3/1;1/1/1/1;
Refactoring_1-6;43/6/6/3;0/0/0/0;8/4/4/1;2/2/2/1;0/0/0/0;4/2/2/1;3/2/2/2;43/6/6/3;0/0/0/0;0/0/0/0;8/4/4/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;8/4/4/1;0/0/0/0;2/2/2/1;3/2/2/2;0/0/0/0;0/0/0/0;8/4/4/1;0/0/0/0;0/0/0/0;16/4/4/3;2/2/2/1;8/4/4/1;132/8/8/2;132/8/8/2;0/0/0/0;6/2/2/1;9/4/4/2;8/4/4/1;9/4/4/2;9/4/4/2;54/6/6/3;9/4/4/2;54/6/6/3;12/4/4/2;4/2/2/1;18/6/6/1;18/6/6/1;8/4/4/1;180/10/10/3;180/10/10/3;2/2/2/1;
Refactoring_1-7;12/4/4/2;0/0/0/0;12/4/4/2;2/2/2/2;0/0/0/0;6/2/2/2;0/0/0/0;12/4/4/2;0/0/0/0;0/0/0/0;12/4/4/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;2/2/2/2;0/0/0/0;0/0/0/0;12/4/4/2;0/0/0/0;2/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;12/4/4/2;0/0/0/0;0/0/0/0;2/2/2/2;2/2/2/2;12/4/4/2;42/6/6/2;42/6/6/2;0/0/0/0;0/0/0/0;12/4/4/4;12/4/4/2;12/4/4/4;12/4/4/4;12/4/4/4;12/4/4/4;12/4/4/4;30/4/4/4;6/2/2/2;42/6/6/2;42/6/6/2;12/4/4/2;42/6/6/2;42/6/6/2;2/2/2/2;
Refactoring_1-8;2/2/2/1;0/0/0/0;2/2/2/1;1/1/1/1;0/0/0/0;1/1/1/1;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;2/2/2/1;0/0/0/0;0/0/0/0;1/1/1/1;1/1/1/1;2/2/2/1;3/3/3/1;3/3/3/1;0/0/0/0;0/0/0/0;2/2/2/2;2/2/2/1;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;2/2/2/2;1/1/1/1;3/3/3/1;3/3/3/1;2/2/2/1;3/3/3/1;3/3/3/1;1/1/1/1;
Specialization_3-2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
Specialization_3-3;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
Specialization_3-4;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;
Specialization_3-5;3/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;3/2/2/2;3/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;3/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;3/2/2/2;0/0/0/0;0/0/0/0;6/2/2/1;6/2/2/1;0/0/0/0;6/2/2/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;3/2/2/2;0/0/0/0;3/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;9/4/4/2;9/4/4/2;0/0/0/0;
Specialization_3-6;3/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;3/2/2/2;3/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;3/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;3/2/2/2;0/0/0/0;0/0/0/0;6/2/2/1;6/2/2/1;0/0/0/0;6/2/2/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;3/2/2/2;0/0/0/0;3/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;9/4/4/2;9/4/4/2;0/0/0/0;
Specialization_3-7;1/1/3/1;1/1/1/1;2/2/3/1;1/1/2/1;0/0/0/0;4/2/3/2;0/0/1/0;1/1/3/1;0/0/0/0;1/1/1/1;2/2/3/1;0/0/2/0;0/0/2/0;1/1/1/1;1/1/1/1;1/1/1/1;1/1/2/1;0/0/0/0;2/2/2/2;2/2/3/1;2/2/2/2;1/1/2/1;0/0/1/0;1/1/1/1;1/1/1/1;2/2/3/1;1/1/1/1;1/1/1/1;0/0/2/0;1/1/2/1;2/2/3/1;0/0/4/0;1/1/4/1;1/1/1/1;0/0/2/0;1/1/3/1;0/0/3/0;1/1/3/1;1/1/3/1;1/1/3/1;1/1/3/1;1/1/3/1;2/2/4/2;4/2/3/2;3/3/4/1;3/3/4/1;2/2/3/1;0/0/4/0;0/0/4/0;1/1/2/1;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
Total amount of rsults - normal CPs: 0 essential CPs: 2316 conflict atoms: 939 conflictAtomCandidates: 1109 minimalConflictReasons: 603
